instance_id,exit_status,steps,trace_tokens,billed_tokens,cost_usd,correct,blocked_submission_count,list_symbols_called,radar_called,radar_tool_calls,radar_tool_output_chars,radar_verification_satisfied,tools_prompt
astropy-3,Submitted,12,16273,16273,0.0,,0,0,True,3,151,True,neutral
astropy-0,Submitted,27,55909,55909,0.0,,0,0,True,2,98,True,neutral
astropy-2,LimitsExceeded,30,135809,135809,0.0,,0,0,True,3,150,True,neutral
astropy-1,LimitsExceeded,30,102257,102257,0.0,,0,0,True,3,3500,True,neutral
astropy-4,Submitted,24,88902,88902,0.0,,1,0,True,3,2196,True,neutral
astropy-5,Submitted,16,74827,74827,0.0,,1,3,True,5,5186,True,neutral
astropy-6,OSError,10,36474,36474,0.0,,0,0,True,2,1570,True,neutral
astropy-9,Submitted,14,30300,30300,0.0,,0,0,True,2,2073,True,neutral
astropy-8,Submitted,24,96093,96093,0.0,,0,0,True,3,7643,True,neutral
astropy-7,Submitted,30,231930,231930,0.0,,0,0,True,1,2682,True,neutral
astropy-11,Submitted,17,65463,65463,0.0,,0,0,True,5,7949,True,neutral
astropy-13,Submitted,10,21261,21261,0.0,,0,0,True,4,4662,True,neutral
astropy-14,Submitted,9,22748,22748,0.0,,0,0,True,4,5047,True,neutral
astropy-12,OSError,19,73342,73342,0.0,,0,1,True,4,5517,True,neutral
astropy-10,Submitted,30,196793,196793,0.0,,0,1,True,3,11066,True,neutral
astropy-15,Submitted,7,9126,9126,0.0,,0,0,True,3,200,True,neutral
astropy-16,Submitted,8,12609,12609,0.0,,1,0,True,1,1520,True,neutral
astropy-17,Submitted,8,20985,20985,0.0,,0,0,True,3,5079,True,neutral
astropy-18,Submitted,9,21930,21930,0.0,,0,0,True,2,4618,True,neutral
astropy-21,Submitted,5,9598,9598,0.0,,0,0,True,1,2189,True,neutral
astropy-22,Submitted,12,35057,35057,0.0,,0,0,True,3,6979,True,neutral
astropy-20,Submitted,20,36126,36126,0.0,,0,0,True,3,167,True,neutral
astropy-23,Submitted,20,33675,33675,0.0,,0,0,True,2,111,True,neutral
astropy-19,Submitted,30,129103,129103,0.0,,0,0,True,3,6736,True,neutral
astropy-24,Submitted,30,68759,68759,0.0,,0,0,True,3,166,True,neutral
astropy-25,Submitted,30,132071,132071,0.0,,0,1,True,2,4887,True,neutral
astropy-27,LimitsExceeded,30,160115,160115,0.0,,0,0,True,4,10247,False,neutral
astropy-26,LimitsExceeded,30,142477,142477,0.0,,0,0,True,3,7564,False,neutral
astropy-30,Submitted,8,17470,17470,0.0,,0,0,True,3,3416,True,neutral
astropy-28,LimitsExceeded,30,96728,96728,0.0,,1,0,True,4,3426,True,neutral
astropy-31,Submitted,30,153757,153757,0.0,,0,1,True,2,6388,True,neutral
astropy-29,Submitted,30,148932,148932,0.0,,2,1,True,3,6751,True,neutral
astropy-32,Submitted,30,125359,125359,0.0,,8,1,True,1,3512,True,neutral
astropy-36,Submitted,5,9401,9401,0.0,,0,0,True,1,3195,True,neutral
astropy-33,LimitsExceeded,30,140365,140365,0.0,,0,0,True,3,7533,False,neutral
astropy-37,Submitted,10,35175,35175,0.0,,1,1,True,2,4106,True,neutral
astropy-34,Submitted,24,77014,77014,0.0,,0,0,True,2,3924,True,neutral
astropy-40,OSError,8,10807,10807,0.0,,0,0,True,2,154,True,neutral
astropy-35,Submitted,30,162390,162390,0.0,,0,0,True,3,9923,True,neutral
astropy-39,Submitted,18,48848,48848,0.0,,1,0,True,1,2394,True,neutral
astropy-38,Submitted,27,92146,92146,0.0,,0,1,True,1,2689,True,neutral
astropy-44,Submitted,4,8022,8022,0.0,,0,1,True,1,2643,True,neutral
astropy-41,Submitted,19,38206,38206,0.0,,0,0,True,3,183,True,neutral
astropy-43,Submitted,21,82856,82856,0.0,,0,0,True,4,9813,True,neutral
astropy-42,Submitted,30,167968,167968,0.0,,0,2,True,4,3561,True,neutral
astropy-47,Submitted,3,5524,5524,0.0,,0,0,True,1,3293,True,neutral
astropy-46,Submitted,12,55355,55355,0.0,,0,1,True,2,3699,True,neutral
conan-0,Submitted,3,3387,3387,0.0,,0,0,False,0,0,,neutral
conan-1,Submitted,4,8223,8223,0.0,,0,1,True,1,3287,True,neutral
conan-2,Submitted,4,7371,7371,0.0,,0,1,True,1,3291,True,neutral
astropy-45,Submitted,30,67813,67813,0.0,,0,0,True,3,169,True,neutral
conan-4,Submitted,7,7953,7953,0.0,,0,0,True,2,118,True,neutral
conan-5,Submitted,6,13069,13069,0.0,,0,0,True,1,2681,True,neutral
conan-6,OSError,8,23467,23467,0.0,,0,0,True,1,4831,True,neutral
conan-3,Submitted,15,32553,32553,0.0,,0,0,False,0,0,,neutral
conan-8,Submitted,8,18600,18600,0.0,,0,2,True,1,2446,True,neutral
conan-9,Submitted,4,5407,5407,0.0,,0,0,False,0,0,,neutral
conan-10,Submitted,4,6555,6555,0.0,,0,1,True,1,1545,True,neutral
conan-12,Submitted,3,4706,4706,0.0,,0,0,True,1,2613,True,neutral
conan-11,Submitted,11,26612,26612,0.0,,0,1,True,1,2066,True,neutral
conan-14,Submitted,17,67135,67135,0.0,,0,0,True,4,217,True,neutral
conan-13,Submitted,24,81271,81271,0.0,,0,1,True,5,5980,True,neutral
conan-16,Submitted,4,6670,6670,0.0,,0,0,True,1,3395,True,neutral
conan-7,Submitted,30,301514,301514,0.0,,0,0,False,0,0,,neutral
conan-15,Submitted,22,69423,69423,0.0,,1,1,True,1,2412,True,neutral
conan-19,Submitted,5,10813,10813,0.0,,0,1,True,1,3540,True,neutral
conan-21,Submitted,3,4870,4870,0.0,,0,0,True,1,2650,True,neutral
conan-22,Submitted,3,4614,4614,0.0,,0,0,True,1,2393,True,neutral
conan-20,Submitted,16,39248,39248,0.0,,1,2,True,4,2852,True,neutral
conan-17,Submitted,23,114252,114252,0.0,,0,2,True,4,11986,True,neutral
conan-24,Submitted,7,13371,13371,0.0,,0,1,True,1,2458,True,neutral
conan-18,LimitsExceeded,30,154473,154473,0.0,,0,0,True,3,9683,True,neutral
conan-25,Submitted,14,36091,36091,0.0,,0,1,True,1,2874,True,neutral
conan-26,Submitted,12,40054,40054,0.0,,0,0,True,1,2828,True,neutral
conan-27,Submitted,9,16530,16530,0.0,,0,0,True,1,3003,True,neutral
conan-28,Submitted,10,23131,23131,0.0,,0,3,True,1,3748,True,neutral
conan-29,Submitted,4,13721,13721,0.0,,0,0,False,0,0,,neutral
